lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
20.88923,14.40259,12.05109,20.84303,14.41195,12.26057,20.82059,14.41289,12.33412,20.8786,14.48542,12.44868,116,39,2
20.26147,13.94684,12.00718,20.20442,13.97976,12.22403,20.16952,13.98564,12.29971,20.19231,14.04601,12.41496,117,40,0
20.27868,14.06006,12.17095,20.22424,14.09872,12.36901,20.19067,14.10742,12.43873,20.21524,14.17293,12.55257,118,40,1
20.26445,13.96728,12.03736,20.20749,13.99898,12.24771,20.17269,14.00469,12.32161,20.19584,14.0664,12.43716,119,40,2
20.70279,14.27117,12.05538,20.66475,14.29422,12.26581,20.64882,14.30284,12.34025,20.71624,14.38456,12.45766,120,41,0
20.71142,14.33629,12.17904,20.67491,14.36614,12.38,20.6596,14.37719,12.45109,20.7273,14.45978,12.56606,121,41,1
20.70251,14.26903,12.05119,20.66455,14.29278,12.26348,20.64866,14.30166,12.33844,20.71601,14.38295,12.4553,122,41,2
20.70264,14.2674,12.03075,20.66469,14.2917,12.24865,20.64879,14.30084,12.32546,20.71613,14.38235,12.4431,123,42,0
20.69725,14.22468,11.94351,20.65849,14.24547,12.17136,20.6423,14.25353,12.25172,20.70956,14.33514,12.37222,124,42,1
20.69244,14.18511,11.85901,20.65289,14.20192,12.09626,20.63637,14.20854,12.17971,20.70341,14.28915,12.30149,125,42,2
19.56592,13.41047,11.82169,19.48367,13.46271,12.05331,19.42539,13.47216,12.13425,19.40417,13.52692,12.25321,126,43,0
19.59217,13.55599,11.9733,19.51468,13.61298,12.18576,19.45871,13.62317,12.25872,19.43987,13.67713,12.36976,127,43,1
19.57407,13.45753,11.87083,19.49295,13.50959,12.09437,19.43502,13.51764,12.17139,19.41365,13.56854,12.28511,128,43,2
19.88491,13.64412,11.90292,19.80395,13.67708,12.12502,19.74685,13.6768,12.20146,19.7247,13.71797,12.3141,129,44,0
19.91247,13.80892,12.10018,19.83674,13.85169,12.30081,19.78246,13.85581,12.36942,19.76407,13.90344,12.47708,130,44,1
19.89504,13.70738,11.9794,19.81594,13.74383,12.19224,19.75985,13.74515,12.26536,19.73907,13.78884,12.37594,131,44,2
20.10906,13.83816,11.99244,20.02447,13.85791,12.20155,19.9641,13.85085,12.27338,19.93682,13.88489,12.38265,132,45,0
20.12644,13.94781,12.13791,20.0456,13.97759,12.33446,19.98731,13.97534,12.40176,19.96275,14.01546,12.50812,133,45,1
20.11149,13.85414,12.01398,20.02757,13.87624,12.22202,19.96758,13.87037,12.29355,19.94077,13.90569,12.4026,134,45,2
20.84689,14.3757,12.08749,20.77589,14.36683,12.28552,20.73079,14.35156,12.35385,20.73806,14.38755,12.46028,135,46,0
20.85527,14.44141,12.22101,20.78602,14.44126,12.40962,20.7418,14.42996,12.47455,20.75006,14.47043,12.57956,136,46,1
20.8477,14.38225,12.10122,20.77697,14.37501,12.29946,20.73202,14.36058,12.368,20.73949,14.3977,12.47514,137,46,2
