juris,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
Clayton,3741.0,9802.0,387.0,374.0,686.0,2294.0,4008.0,17.0,1796.0,8.0,78.0,132.0,350.0,860.0,368.0,0.466691616766,895056.0,498.360801782
Cloverdale,3322.0,8553.0,1047.0,784.0,720.0,771.0,2792.0,804.0,1686.0,43.0,372.0,181.0,210.0,460.0,420.0,0.594914040115,1366813.0,810.683867141
Daly City,29453.0,92656.0,5041.0,4668.0,7002.0,12742.0,21122.0,10143.0,16765.0,29.0,991.0,3100.0,3024.0,6899.0,2722.0,0.697211438311,10599671.8136,632.250033618
Rio Vista,3755.0,8310.0,1157.0,955.0,816.0,827.0,3199.0,94.0,1729.0,302.0,274.0,198.0,220.0,272.0,463.0,0.586902156924,979802.0,566.687102371
Oakland,160846.0,401652.0,62991.0,35083.0,27547.0,35225.0,84462.0,77243.0,185925.0,491.0,21713.0,11200.0,34201.0,68453.0,49867.0,0.952179678435,136626639.587,734.84813547
Lafayette,9046.0,22751.0,886.0,960.0,1479.0,5721.0,7972.0,1582.0,9437.0,37.0,1098.0,763.0,2688.0,3216.0,1635.0,0.567360762669,4723354.15469,500.514374769
San Pablo,8635.0,27369.0,3359.0,2039.0,1718.0,1519.0,4745.0,4601.0,6254.0,31.0,568.0,716.0,722.0,3032.0,1185.0,0.90990516333,5081631.0,812.540933802
Walnut Creek,30787.0,65233.0,6475.0,5044.0,6609.0,12659.0,17388.0,15694.0,53988.0,123.0,3445.0,5908.0,16756.0,20031.0,7725.0,0.885294455947,26083994.564,483.144301771
Pleasant Hill,13736.0,32414.0,2465.0,2171.0,3287.0,5813.0,10265.0,4476.0,16211.0,32.0,625.0,1689.0,3790.0,6886.0,3189.0,0.669069654165,9119881.0,562.573622849
Union City,19530.0,64103.0,3177.0,2667.0,4299.0,9387.0,14937.0,4566.0,21943.0,64.0,8431.0,2686.0,2565.0,5556.0,2641.0,0.653745732075,23232251.8656,1058.75458532
Brisbane,1757.0,4249.0,371.0,311.0,371.0,704.0,1395.0,518.0,5406.0,20.0,2186.0,225.0,804.0,636.0,1535.0,0.629749103943,6076814.95741,1124.08711754
